grid_size,lr,sigma,tau,tau_2,quantization_error,topographical_error,quantization_error_std,topographical_error_std
"[10, 10]",0.5,1,40,40,0.114790582077258,0.191111111111111,0.003265405556148,0.038618104882184
"[10, 10]",0.5,5,10,40,0.116410173915041,0.188888888888889,0.00545943672166,0.021998877636915
"[10, 10]",0.5,1,20,40,0.118244899773155,0.213333333333333,0.005968712344469,0.032659863237109
"[10, 10]",0.5,1,10,40,0.122050295145879,0.193333333333333,0.00625659927826,0.016329931618555
"[10, 10]",0.5,1,10,20,0.122372774805106,0.195555555555556,0.001625239241551,0.026851213274655
"[10, 10]",0.5,10,10,40,0.128736436144211,0.16,0.003006219422525,0.038103173776627
"[10, 10]",0.5,5,20,40,0.129531504077654,0.113333333333333,0.002979829117699,0.016329931618555
"[10, 10]",0.5,1,20,20,0.132990309864501,0.188888888888889,0.001927341256336,0.021998877636915
"[10, 10]",0.5,5,10,20,0.135171839173078,0.091111111111111,0.005383147984113,0.040855058468556
"[10, 10]",0.5,10,20,40,0.139475670151198,0.111111111111111,0.002978007807293,0.017497795275582
